Park Name,Type of Unit,State,Reg,Alpha,Unit
Natchez Trace,Parkway,"AL,MS,TN",SER,NATR,2
Navajo,National Monument,AZ,IMR,NAVA,1
New Bedford Whaling,National Historical Park,MA,NER,NEBE,1
Nez Perce,National Historical Park,"ID,MT,OR,WA",PWR,NEPE,1
New River Gorge,National River,WV,NER,NERI,1
Nicodemus,National Historic Site,KS,MWR,NICO,1
Niobrara,National Scenic River,NE,MWR,NIOB,1
Ninety Six,National Historic Site,SC,SER,NISI,1
Noatak,National Preserve,AK,AKR,NOAT,1
North Cascades,National Park,WA,PWR,NOCA,1
National Park of American Samoa,,AS,PWR,NPSA,1
National World War II,Memorial,DC,NCR,NWWM,1
Obed,Wild & Scenic River,TN,SER,OBED,1
Obed Wild and Scenic River,Obed Wild and Scenic River,TN,SE,OBRI,
Ocmulgee,National Monument,GA,SER,OCMU,1
Olympic,National Park,WA,PWR,OLYM,1
Oregon Caves,National Monument,OR,PWR,ORCA,1
Organ Pipe Cactus,National Monument,AZ,IMR,ORPI,1
Ozark,National Scenic Riverways,MO,MWR,OZAR,1
Palo Alto Battlefield,National Historical Park,TX,IMR,PAAL,1
Pennsylvania Avenue,National Historic Site,DC,NCR,PAAV,1
Paterson Great Falls,National Historical Park,NJ,NER,PAGR,1
Padre Island,National Seashore,TX,IMR,PAIS,1
Pecos,National Historical Park,NM,IMR,PECO,1
Petrified Forest,National Park,AZ,IMR,PEFO,1
Pea Ridge,National Military Park,AR,MWR,PERI,1
Petersburg,National Battlefield,VA,NER,PETE,1
Petroglyph,National Monument,NM,IMR,PETR,1
Perry's Victory & International Peace,Memorial,OH,MWR,PEVI,1
Hohokam Pima,National Monument,AZ,IMR,PIMA,1
Pinnacles,National Park,CA,PWR,PINN,1
Pipestone,National Monument,MN,MWR,PIPE,1
Pictured Rocks,National Lakeshore,MI,MWR,PIRO,1
Piscataway,Park,MD,NCR,PISC,1
Pipe Spring,National Monument,AZ,IMR,PISP,1
Port Chicago Naval Magazine,National Memorial,CA,PWR,POCH,1
Potomac Heritage,National Scenic Trail,"DC,MD,PA,VA",NCR,POHE,1
Poverty Point,National Monument,LA,SER,POPO,1
Point Reyes,National Seashore,CA,PWR,PORE,1
Prince William Forest,Park,VA,NCR,PRWI,1
Puukohola Heiau,National Historic Site,HI,PWR,PUHE,1
Pu`uhonua O Honaunau,National Historical Park,HI,PWR,PUHO,1
Pullman National Monument,Pullman National Monument,IL,MW,PULL,
Rainbow Bridge,National Monument,UT,IMR,RABR,1
Redwood,National and State Parks,CA,PWR,REDW,1
Richmond,National Battlefield Park,VA,NER,RICH,1
Rio Grande,Wild & Scenic River,TX,IMR,RIGR,1
River Raisin,National Battlefield,MI,MWR,RIRA,1
Rock Creek,Park,DC,NCR,ROCR,1
Ross Lake,National Recreation Area,WA,PWR,ROLA,1
Rocky Mountain,National Park,CO,IMR,ROMO,1
Rosie the Riveter WWII Home Front,National Historical Park,CA,PWR,RORI,1
Roger Williams,National Memorial,RI,NER,ROWI,1
Ronald Reagan Boyhood Home National Historic Site,Ronald Reagan Boyhood Home National Historic Site,IL,MW,RRBH,
Russell Cave,National Monument,AL,SER,RUCA,1
San Antonio Missions,National Historical Park,TX,IMR,SAAN,1
