,park,congest,peak season,capacity,busy season,high demand,limited availability,traffic,total,FinalCluster,Label
304,PEFO,0,0,19,1,0,0,3,23,8.0,Rural High Visitation
305,PERI,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
306,PETE,0,0,0,0,0,0,13,13,4.0,Urban Low Visitation
307,PETR,1,0,0,0,0,0,0,1,4.0,Urban Low Visitation
308,PEVI,3,0,0,0,0,0,2,5,3.0,Low Visitation Sites
309,PINN,0,0,14,0,0,0,1,15,1.0,Transit Parks
310,PIPE,0,0,1,0,0,0,0,1,7.0,Rural Low Visitation
311,PIRO,0,0,10,0,0,0,3,13,6.0,High Seasonal Variation
312,PISC,0,0,0,0,0,0,2,2,2.0,Urban Sites
313,PISP,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
314,POCH,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
315,POHE,0,0,0,0,0,0,0,0,,
316,POPO,0,0,0,0,0,0,0,0,,
317,PORE,27,0,1,0,0,0,43,71,1.0,Transit Parks
318,PRWI,0,0,2,0,0,0,2,4,4.0,Urban Low Visitation
319,PUHE,0,0,0,0,0,0,23,23,3.0,Low Visitation Sites
320,PUHO,0,0,1,0,0,0,7,8,8.0,Rural High Visitation
321,PULL,0,0,0,0,0,0,1,1,,
322,RABR,0,0,0,0,0,0,1,1,7.0,Rural Low Visitation
323,REDW,0,0,0,0,0,0,6,6,8.0,Rural High Visitation
324,RICH,1,0,0,0,0,0,0,1,4.0,Urban Low Visitation
325,RIGR,0,0,3,0,0,0,0,3,7.0,Rural Low Visitation
326,RIRA,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
327,ROCR,0,0,3,0,0,0,5,8,5.0,Urban High Visitation
328,ROLA,1,3,0,0,0,0,6,10,1.0,Transit Parks
329,ROMO,0,0,2,0,0,0,13,15,1.0,Transit Parks
330,RORI,0,0,2,0,0,0,0,2,2.0,Urban Sites
331,ROWI,0,0,0,0,0,0,0,0,2.0,Urban Sites
332,RRBH,0,0,0,0,0,0,0,0,,
333,RUCA,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
334,SAAN,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
335,SACN,0,0,0,0,0,0,1,1,6.0,High Seasonal Variation
336,SACR,0,1,0,0,0,0,0,1,3.0,Low Visitation Sites
337,SAFR,0,0,0,0,1,0,9,10,5.0,Urban High Visitation
338,SAGA,0,0,0,0,0,0,9,9,4.0,Urban Low Visitation
339,SAGU,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
340,SAHI,0,0,1,0,0,0,28,29,4.0,Urban Low Visitation
341,SAIR,0,0,0,0,0,0,7,7,4.0,Urban Low Visitation
342,SAJH,0,0,0,0,0,0,2,2,6.0,High Seasonal Variation
343,SAJU,0,0,0,0,0,0,14,14,5.0,Urban High Visitation
344,SAMA,0,0,0,0,0,0,0,0,2.0,Urban Sites
345,SAMO,0,0,0,0,1,0,33,34,5.0,Urban High Visitation
346,SAND,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
347,SAPA,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
348,SAPU,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
349,SARA,0,0,0,0,0,0,15,15,6.0,High Seasonal Variation
350,SARI,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
351,SCBL,1,0,0,0,0,0,1,2,1.0,Transit Parks
352,SEKI,126,1,10,0,0,0,136,273,,
353,SEMO,0,0,0,0,0,0,1,1,,
354,SEQU,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
355,SHEN,0,0,4,0,0,0,0,4,8.0,Rural High Visitation
356,SHIL,0,2,0,0,0,0,2,4,8.0,Rural High Visitation
357,SITK,0,0,0,0,0,0,2,2,8.0,Rural High Visitation
358,SLBE,0,0,12,0,0,0,2,14,1.0,Transit Parks
359,SPAR,0,0,0,0,0,0,28,28,4.0,Urban Low Visitation
360,STEA,0,0,1,0,0,0,1,2,4.0,Urban Low Visitation
361,STLI,0,1,0,0,0,0,8,9,1.0,Transit Parks
362,STON,0,0,0,0,0,0,0,0,2.0,Urban Sites
363,STRI,0,0,2,0,0,0,18,20,4.0,Urban Low Visitation
364,SUCR,0,0,0,0,0,0,1,1,7.0,Rural Low Visitation
365,TAPR,0,0,0,0,0,0,42,42,7.0,Rural Low Visitation
366,THIS,0,0,0,0,0,0,0,0,2.0,Urban Sites
367,THJE,0,0,0,0,0,0,0,0,2.0,Urban Sites
368,THKO,0,0,0,0,0,0,0,0,2.0,Urban Sites
369,THRB,0,0,0,0,0,0,29,29,2.0,Urban Sites
370,THRI,0,0,2,0,0,0,47,49,3.0,Low Visitation Sites
371,THRO,0,0,6,0,0,0,3,9,8.0,Rural High Visitation
372,THST,0,0,0,0,0,0,7,7,7.0,Rural Low Visitation
373,TICA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
374,TIMU,0,0,0,0,0,0,6,6,5.0,Urban High Visitation
375,TONT,0,0,0,0,0,0,1,1,7.0,Rural Low Visitation
376,TUAI,0,0,2,0,0,0,0,2,7.0,Rural Low Visitation
377,TUIN,0,0,0,0,0,0,22,22,7.0,Rural Low Visitation
378,TUMA,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
379,TUPE,0,0,0,0,0,0,0,0,,
380,TUSK,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
381,TUZI,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
382,ULSG,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
383,UPDE,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
384,VAFO,1,0,0,0,0,0,1,2,5.0,Urban High Visitation
385,VALL,1,0,0,1,0,0,9,11,7.0,Rural Low Visitation
386,VALR,0,0,0,0,0,0,70,70,,
387,VAMA,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
388,VICK,0,0,0,0,0,0,8,8,8.0,Rural High Visitation
