,park,url,url_stem,ped_page
239,acad,/acad/planyourvisit/what-can-i-do-at-home.htm,what-can-i-do-at-home,0
240,acad,/acad/planyourvisit/what-can-you-do.htm,what-can-you-do,0
241,acad,/acad/planyourvisit/winter.htm,winter,0
242,acad,/acad/planyourvisit/winter.htm,winter,0
243,acad,/acad/planyourvisit/winteractivities.htm,winteractivities,0
244,adam,/adam/planyourvisit/index.htm,index,0
245,adam,/adam/planyourvisit/basicinfo.htm,basicinfo,0
246,adam,/adam/planyourvisit/conditions.htm,conditions,0
247,adam,/adam/planyourvisit/basicinfo.htm,basicinfo,0
248,adam,/adam/planyourvisit/hours.htm,hours,0
249,adam,/adam/planyourvisit/index.htm,index,0
250,adam,/adam/planyourvisit/guidedtours.htm,guidedtours,0
251,adam,/adam/planyourvisit/calendar.htm,calendar,0
252,adam,/adam/planyourvisit/fees.htm,fees,0
253,adam,/adam/planyourvisit/maps.htm,maps,0
254,adam,/adam/planyourvisit/conditions.htm,conditions,0
255,adam,/adam/planyourvisit/hours.htm,hours,0
256,adam,/adam/planyourvisit/fees.htm,fees,0
257,adam,/adam/planyourvisit/virtual-tour.htm,virtual-tour,0
258,adam,/adam/planyourvisit/accessibility.htm,accessibility,0
259,adam,/adam/planyourvisit/directions.htm,directions,0
260,adam,/adam/planyourvisit/english-language-brochure.htm,english-language-brochure,0
261,adam,/adam/planyourvisit/maps.htm,maps,0
262,adam,/adam/planyourvisit/places-to-go.htm,places-to-go,0
263,adam,/adam/planyourvisit/things2do.htm,things2do,0
264,adam,/adam/planyourvisit/visitor-center.htm,visitor-center,0
265,adam,/adam/planyourvisit/directions.htm,directions,0
266,adam,/adam/planyourvisit/guidedtours.htm,guidedtours,0
267,adam,/adam/planyourvisit/visitorcenters.htm,visitorcenters,0
268,adam,/adam/planyourvisit/nearbyattractions.htm,nearbyattractions,0
269,adam,/adam/planyourvisit/things2do.htm,things2do,0
270,adam,/adam/planyourvisit/virtual-tour.htm,virtual-tour,0
271,adam,/adam/planyourvisit/calendar.htm,calendar,0
272,adam,/adam/planyourvisit/justforkids.htm,justforkids,0
273,adam,/adam/planyourvisit/visitor-center.htm,visitor-center,0
274,adam,/adam/planyourvisit/accessibility.htm,accessibility,0
275,adam,/adam/planyourvisit/english-language-brochure.htm,english-language-brochure,0
276,adam,/adam/planyourvisit/park-brochures.htm,park-brochures,0
277,adam,/adam/planyourvisit/places-to-go.htm,places-to-go,0
278,adam,/adam/planyourvisit/publictransportation.htm,publictransportation,0
279,adam,/adam/planyourvisit/visitorcenters.htm,visitorcenters,0
280,adam,/adam/planyourvisit/academic-fee-waiver.htm,academic-fee-waiver,0
281,adam,/adam/planyourvisit/brochures.htm,brochures,0
282,adam,/adam/planyourvisit/federal-pass-program.htm,federal-pass-program,0
283,adam,/adam/planyourvisit/federal-pass-program.htm,federal-pass-program,0
284,adam,/adam/planyourvisit/july-4-celebration.htm,july-4-celebration,0
285,adam,/adam/planyourvisit/nearbyattractions.htm,nearbyattractions,0
286,adam,/adam/planyourvisit/pets.htm,pets,0
287,adam,/adam/planyourvisit/safety.htm,safety,0
288,adam,/adam/planyourvisit/self-guided.htm,self-guided,0
289,adam,/adam/planyourvisit/things2know.htm,things2know,0
290,adam,/adam/planyourvisit/trolley.htm,trolley,0
291,adam,/adam/planyourvisit/trolley.htm,trolley,0
292,afam,/afam/planyourvisit/conditions.htm,conditions,0
293,afam,/afam/planyourvisit/conditions.htm,conditions,0
294,afam,/afam/planyourvisit/basicinfo.htm,basicinfo,0
295,afam,/afam/planyourvisit/basicinfo.htm,basicinfo,0
296,afam,/afam/planyourvisit/fees.htm,fees,0
297,afam,/afam/planyourvisit/index.htm,index,0
298,afam,/afam/planyourvisit/maps.htm,maps,0
299,afam,/afam/planyourvisit/guidedtours.htm,guidedtours,0
300,afam,/afam/planyourvisit/maps.htm,maps,0
301,afam,/afam/planyourvisit/things2do.htm,things2do,0
302,afam,/afam/planyourvisit/hours.htm,hours,0
303,afam,/afam/planyourvisit/index.htm,index,0
304,afam,/afam/planyourvisit/things2do.htm,things2do,0
305,afbg,/afbg/planyourvisit/conditions.htm,conditions,0
306,afbg,/afbg/planyourvisit/basicinfo.htm,basicinfo,0
307,afbg,/afbg/planyourvisit/hours.htm,hours,0
308,afbg,/afbg/planyourvisit/conditions.htm,conditions,0
309,afbg,/afbg/planyourvisit/fees.htm,fees,0
310,afbg,/afbg/planyourvisit/calendar.htm,calendar,0
311,afbg,/afbg/planyourvisit/directions.htm,directions,0
312,afbg,/afbg/planyourvisit/calendar.htm,calendar,0
313,afbg,/afbg/planyourvisit/african-american-freedom-trail.htm,african-american-freedom-trail,0
314,afbg,/afbg/planyourvisit/maps.htm,maps,0
315,afbg,/afbg/planyourvisit/things2do.htm,things2do,0
316,afbg,/afbg/planyourvisit/visitor-center.htm,visitor-center,0
317,afbg,/afbg/planyourvisit/basicinfo.htm,basicinfo,0
318,afbg,/afbg/planyourvisit/indooractivities.htm,indooractivities,0
319,afbg,/afbg/planyourvisit/index.htm,index,0
320,afbg,/afbg/planyourvisit/african-american-freedom-trail.htm,african-american-freedom-trail,0
321,afbg,/afbg/planyourvisit/permitsandreservations.htm,permitsandreservations,0
322,afbg,/afbg/planyourvisit/brochures.htm,brochures,0
323,afbg,/afbg/planyourvisit/directions.htm,directions,0
324,afbg,/afbg/planyourvisit/fees.htm,fees,0
325,afbg,/afbg/planyourvisit/maps.htm,maps,0
326,afbg,/afbg/planyourvisit/things2do.htm,things2do,0
327,afbg,/afbg/planyourvisit/accessibility.htm,accessibility,0
328,afbg,/afbg/planyourvisit/brochures.htm,brochures,0
329,afbg,/afbg/planyourvisit/index.htm,index,0
330,afbg,/afbg/planyourvisit/permitsandreservations.htm,permitsandreservations,0
331,afbg,/afbg/planyourvisit/safety.htm,safety,0
332,afbg,/afbg/planyourvisit/visitor-center.htm,visitor-center,0
333,agfo,/agfo/planyourvisit/conditions.htm,conditions,0
334,agfo,/agfo/planyourvisit/basicinfo.htm,basicinfo,0
335,agfo,/agfo/planyourvisit/things2do.htm,things2do,0
336,agfo,/agfo/planyourvisit/outdooractivities.htm,outdooractivities,0
337,agfo,/agfo/planyourvisit/basicinfo.htm,basicinfo,0
338,agfo,/agfo/planyourvisit/directions.htm,directions,0
339,agfo,/agfo/planyourvisit/maps.htm,maps,0
340,agfo,/agfo/planyourvisit/conditions.htm,conditions,0
341,agfo,/agfo/planyourvisit/maps.htm,maps,0
342,agfo,/agfo/planyourvisit/eating-sleeping.htm,eating-sleeping,0
343,agfo,/agfo/planyourvisit/things2do.htm,things2do,0
344,agfo,/agfo/planyourvisit/fees.htm,fees,0
345,agfo,/agfo/planyourvisit/indooractivities.htm,indooractivities,0
346,agfo,/agfo/planyourvisit/pets.htm,pets,0
347,agfo,/agfo/planyourvisit/calendar.htm,calendar,0
348,agfo,/agfo/planyourvisit/hours.htm,hours,0
349,agfo,/agfo/planyourvisit/outdooractivities.htm,outdooractivities,0
350,agfo,/agfo/planyourvisit/eating-sleeping.htm,eating-sleeping,0
351,agfo,/agfo/planyourvisit/index.htm,index,0
352,agfo,/agfo/planyourvisit/indooractivities.htm,indooractivities,0
353,agfo,/agfo/planyourvisit/park-brochure.htm,park-brochure,0
354,agfo,/agfo/planyourvisit/calendar.htm,calendar,0
355,agfo,/agfo/planyourvisit/fees.htm,fees,0
356,agfo,/agfo/planyourvisit/index.htm,index,0
357,agfo,/agfo/planyourvisit/pets.htm,pets,0
358,agfo,/agfo/planyourvisit/weather.htm,weather,0
359,alag,/alag/planyourvisit/conditions.htm,conditions,0
360,alag,/alag/planyourvisit/bearsafety.htm,bearsafety,0
361,alag,/alag/planyourvisit/conditions.htm,conditions,0
362,alag,/alag/planyourvisit/index.htm,index,0
363,alag,/alag/planyourvisit/basicinfo.htm,basicinfo,0
364,alag,/alag/planyourvisit/weather.htm,weather,0
365,alag,/alag/planyourvisit/basicinfo.htm,basicinfo,0
366,alag,/alag/planyourvisit/index.htm,index,0
367,alag,/alag/planyourvisit/fishing.htm,fishing,0
368,alag,/alag/planyourvisit/maps.htm,maps,0
369,alag,/alag/planyourvisit/maps.htm,maps,0
370,alag,/alag/planyourvisit/calendar.htm,calendar,0
371,alag,/alag/planyourvisit/fees.htm,fees,0
372,alag,/alag/planyourvisit/calendar.htm,calendar,0
373,alag,/alag/planyourvisit/fees.htm,fees,0
374,alag,/alag/planyourvisit/fishing.htm,fishing,0
375,alag,/alag/planyourvisit/things2do.htm,things2do,0
376,alag,/alag/planyourvisit/bearsafety.htm,bearsafety,0
377,alag,/alag/planyourvisit/things2do.htm,things2do,0
378,alag,/alag/planyourvisit/weather.htm,weather,0
379,alag,/alag/planyourvisit/camping.htm,camping,0
380,alag,/alag/planyourvisit/private-land-and-the-alagnak-wild-river.htm,private-land-and-the-alagnak-wild-river,0
381,alag,/alag/planyourvisit/private-land-and-the-alagnak-wild-river.htm,private-land-and-the-alagnak-wild-river,0
382,alag,/alag/planyourvisit/directions.htm,directions,0
383,alag,/alag/planyourvisit/directions.htm,directions,0
384,alag,/alag/planyourvisit/hours.htm,hours,0
385,alag,/alag/planyourvisit/hunting.htm,hunting,0
386,alag,/alag/planyourvisit/leave-no-trace.htm,leave-no-trace,0
387,alag,/alag/planyourvisit/visitorcenters.htm,visitorcenters,0
388,alca,/alca/planyourvisit/fees.htm,fees,0
389,alca,/alca/planyourvisit/accessibility.htm,accessibility,0
390,alca,/alca/planyourvisit/conditions.htm,conditions,0
391,alca,/alca/planyourvisit/fees.htm,fees,0
392,alca,/alca/planyourvisit/index.htm,index,0
393,alca,/alca/planyourvisit/basicinfo.htm,basicinfo,0
394,alca,/alca/planyourvisit/hours.htm,hours,0
395,alca,/alca/planyourvisit/basicinfo.htm,basicinfo,0
396,alca,/alca/planyourvisit/conditions.htm,conditions,0
397,alca,/alca/planyourvisit/things2do.htm,things2do,0
398,alca,/alca/planyourvisit/wheretoeat.htm,wheretoeat,0
399,alca,/alca/planyourvisit/directions.htm,directions,0
400,alca,/alca/planyourvisit/calendar.htm,calendar,0
401,alca,/alca/planyourvisit/maps.htm,maps,0
402,alca,/alca/planyourvisit/guidedtours.htm,guidedtours,0
403,alca,/alca/planyourvisit/index.htm,index,0
404,alca,/alca/planyourvisit/maps.htm,maps,0
405,alca,/alca/planyourvisit/guidedtours.htm,guidedtours,0
406,alca,/alca/planyourvisit/things2do.htm,things2do,0
407,alca,/alca/planyourvisit/virtual-passport-stamp.htm,virtual-passport-stamp,0
408,alca,/alca/planyourvisit/virtual-passport-stamp.htm,virtual-passport-stamp,0
409,alca,/alca/planyourvisit/calendar.htm,calendar,0
410,alca,/alca/planyourvisit/directions.htm,directions,0
411,alca,/alca/planyourvisit/hours.htm,hours,0
412,alca,/alca/planyourvisit/wheretoeat.htm,wheretoeat,0
413,alca,/alca/planyourvisit/accessibility.htm,accessibility,0
414,alca,/alca/planyourvisit/alcatraz-asl.htm,alcatraz-asl,0
