,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
277,NACC,4,3,0,1,0,0,2,2,0,12,,
278,NAMA,4,3,0,1,0,0,2,2,0,12,1.0,Transit Parks
279,NATC,3,2,0,2,0,0,0,0,0,7,3.0,Low Visitation Sites
280,NATR,9,3,0,1,1,1,3,0,1,19,5.0,Urban High Visitation
281,NAVA,3,4,0,1,0,0,0,1,0,9,7.0,Rural Low Visitation
282,NEBE,2,4,0,2,0,0,0,0,0,8,4.0,Urban Low Visitation
283,NEPE,2,8,0,4,2,0,1,0,1,18,8.0,Rural High Visitation
284,NERI,5,2,2,2,0,0,0,0,0,11,8.0,Rural High Visitation
285,NICO,6,2,0,1,0,0,0,0,0,9,7.0,Rural Low Visitation
286,NIOB,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation
287,NISI,1,2,0,1,1,1,0,0,0,6,4.0,Urban Low Visitation
288,NOAT,1,2,2,1,1,0,0,0,0,7,6.0,High Seasonal Variation
289,NOCA,1,5,0,2,0,1,0,0,0,9,6.0,High Seasonal Variation
290,NPSA,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation
291,NWWM,0,2,0,1,7,0,2,0,0,12,,
292,OBED,3,2,0,2,2,2,1,1,2,15,7.0,Rural Low Visitation
293,OBRI,0,2,0,1,0,0,0,0,0,3,,
294,OCMU,5,2,0,1,1,3,0,0,0,12,4.0,Urban Low Visitation
295,OLYM,1,2,0,2,1,1,0,0,0,7,8.0,Rural High Visitation
296,ORCA,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
297,ORPI,7,2,0,1,0,15,1,0,0,26,7.0,Rural Low Visitation
298,OZAR,6,2,1,1,0,2,0,2,0,14,1.0,Transit Parks
299,PAAL,2,4,0,3,0,0,1,0,0,10,6.0,High Seasonal Variation
300,PAAV,1,2,0,2,0,0,0,0,0,5,2.0,Urban Sites
301,PAGR,6,3,0,2,0,0,5,1,0,17,4.0,Urban Low Visitation
302,PAIS,26,2,0,1,0,0,0,0,0,29,8.0,Rural High Visitation
303,PECO,5,17,0,5,0,1,3,0,0,31,7.0,Rural Low Visitation
304,PEFO,2,10,0,3,0,2,0,0,0,17,8.0,Rural High Visitation
305,PERI,1,11,0,2,0,0,2,0,0,16,4.0,Urban Low Visitation
306,PETE,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation
307,PETR,1,5,2,1,0,1,1,0,0,11,4.0,Urban Low Visitation
308,PEVI,1,3,0,2,0,0,2,0,0,8,3.0,Low Visitation Sites
309,PINN,3,3,0,2,1,1,0,0,0,10,1.0,Transit Parks
310,PIPE,7,2,0,2,0,0,0,0,0,11,7.0,Rural Low Visitation
311,PIRO,25,6,0,3,0,0,3,0,0,37,6.0,High Seasonal Variation
312,PISC,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites
313,PISP,4,3,0,1,0,0,0,0,0,8,7.0,Rural Low Visitation
