,park,bike,cycl,pedestrian,on foot,on-foot,walking,total,FinalCluster,Label
33,BISO,32,36,1,3,0,5,77,8.0,Rural High Visitation
34,BITH,22,50,0,3,0,5,80,4.0,Urban Low Visitation
35,BLCA,0,9,1,1,0,9,20,6.0,High Seasonal Variation
36,BLRI,6,110,2,0,0,2,120,1.0,Transit Parks
37,BLUE,2,6,0,1,0,7,16,7.0,Rural Low Visitation
38,BOAF,0,4,0,0,0,8,12,2.0,Urban Sites
39,BOHA,0,2,0,0,0,0,2,1.0,Transit Parks
40,BOST,0,4,0,2,0,37,43,5.0,Urban High Visitation
41,BOWA,0,2,0,0,0,3,5,4.0,Urban Low Visitation
42,BRCA,39,43,69,2,0,3,156,1.0,Transit Parks
43,BRCR,0,7,0,0,0,1,8,,
44,BRVB,2,3,0,0,0,1,6,4.0,Urban Low Visitation
45,BUFF,0,2,0,0,0,0,2,8.0,Rural High Visitation
46,BUIS,0,2,0,1,0,13,16,7.0,Rural Low Visitation
47,CABR,1,21,4,1,0,11,38,5.0,Urban High Visitation
48,CACH,0,2,0,1,0,4,7,8.0,Rural High Visitation
49,CACL,0,10,0,1,0,4,15,2.0,Urban Sites
50,CACO,42,166,3,2,0,27,240,1.0,Transit Parks
51,CAGR,0,3,0,1,0,5,9,4.0,Urban Low Visitation
52,CAHA,0,12,25,0,0,6,43,8.0,Rural High Visitation
53,CAKR,0,2,0,0,0,0,2,6.0,High Seasonal Variation
54,CALO,0,2,1,1,0,2,6,1.0,Transit Parks
55,CAMO,0,4,0,0,0,18,22,,
56,CANA,1,28,3,10,0,2,44,5.0,Urban High Visitation
57,CANY,37,126,2,1,0,9,175,8.0,Rural High Visitation
58,CARE,7,32,3,5,0,7,54,8.0,Rural High Visitation
59,CARI,1,2,0,0,0,2,5,7.0,Rural Low Visitation
60,CARL,0,7,6,2,0,3,18,1.0,Transit Parks
61,CASA,0,3,2,0,0,22,27,5.0,Urban High Visitation
62,CATO,0,10,1,1,0,5,17,4.0,Urban Low Visitation
63,CAVE,0,2,0,0,0,0,2,8.0,Rural High Visitation
64,CAVO,12,54,30,2,0,4,102,6.0,High Seasonal Variation
65,CAWO,0,2,0,0,0,0,2,4.0,Urban Low Visitation
66,CBGN,0,2,0,0,0,0,2,,
67,CEBE,0,2,0,2,0,11,15,,
68,CEBR,1,2,1,0,0,0,4,8.0,Rural High Visitation
69,CECH,0,2,0,0,0,0,2,7.0,Rural Low Visitation
