,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
159,GICL,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
160,GLAC,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
161,GLBA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
162,GLCA,0,0,0,7,0,0,0,0,7,1.0,Transit Parks
163,GOGA,0,0,0,7,0,0,0,0,7,1.0,Transit Parks
164,GOIS,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
165,GOSP,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
166,GRBA,0,1,0,0,0,0,0,0,1,8.0,Rural High Visitation
167,GRCA,11,44,1,0,0,0,0,2,58,1.0,Transit Parks
168,GREE,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
169,GREG,0,0,0,0,0,0,0,0,0,,
170,GRKO,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
171,GRPO,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
172,GRSA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
173,GRSM,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
174,GRTE,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
175,GUCO,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
176,GUIS,0,1,0,0,0,0,0,0,1,1.0,Transit Parks
177,GUMO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
178,GWCA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
179,GWMP,0,0,0,1,0,0,0,0,1,5.0,Urban High Visitation
180,HAFE,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
181,HAFO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
182,HAGR,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
183,HALE,0,14,0,0,0,0,0,0,14,8.0,Rural High Visitation
184,HAMP,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
185,HATU,0,0,0,0,0,0,0,0,0,,
186,HAVO,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
187,HEHO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
188,HOBE,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
189,HOCU,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
190,HOFR,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
191,HOFU,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
192,HOME,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
193,HONO,0,0,0,0,0,0,0,0,0,,
194,HOSP,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
195,HOVE,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
196,HSTR,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
197,HUTR,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
198,IATR,0,0,0,0,0,0,0,0,0,,
199,INDE,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
200,INDU,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
201,ISRO,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
202,JAGA,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
203,JAZZ,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
204,JECA,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
205,JEFF,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
206,JEFM,0,0,0,0,0,0,0,0,0,,
207,JELA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
208,JICA,0,1,0,0,0,0,0,0,1,7.0,Rural Low Visitation
