,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total,FinalCluster,Label,ferrynet
263,MIMI,4,0,5,7,0,0,0,68,0,84,3.0,Low Visitation Sites,0
264,MISS,9,2,29,7,0,0,0,18,41,106,6.0,High Seasonal Variation,0
265,MLKM,7,2,2,16,0,0,7,7,18,59,2.0,Urban Sites,0
266,MNRR,0,0,14,6,0,0,0,0,0,20,6.0,High Seasonal Variation,0
267,MOCA,0,0,0,0,0,0,0,2,0,2,8.0,Rural High Visitation,0
268,MOCR,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
269,MOJA,0,0,1,0,0,0,0,10,0,11,8.0,Rural High Visitation,0
270,MONO,1,0,0,0,34,0,0,5,0,40,4.0,Urban Low Visitation,34
271,MORA,1,1,6,0,0,0,0,101,0,109,8.0,Rural High Visitation,0
272,MORR,0,0,6,6,0,0,0,6,0,18,4.0,Urban Low Visitation,0
273,MORU,0,1,0,14,0,0,0,10,0,25,8.0,Rural High Visitation,0
274,MUWO,1,102,4,1,2,0,0,6,0,116,1.0,Transit Parks,2
275,NABR,15,7,0,7,0,0,0,3,0,32,7.0,Rural Low Visitation,0
276,NACA,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation,0
277,NACC,13,2,4,22,0,0,7,0,39,87,,,0
278,NAMA,13,2,4,22,0,0,7,0,39,87,1.0,Transit Parks,0
279,NATC,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites,0
280,NATR,2,0,0,0,13,0,0,2,1,18,5.0,Urban High Visitation,13
281,NAVA,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
282,NEBE,7,3,1,0,1,0,0,1,0,13,4.0,Urban Low Visitation,1
283,NEPE,30,0,0,20,0,0,0,15,0,65,8.0,Rural High Visitation,0
284,NERI,8,8,2,7,10,0,0,71,0,106,8.0,Rural High Visitation,10
285,NICO,0,0,0,0,0,0,0,2,0,2,7.0,Rural Low Visitation,0
286,NIOB,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
287,NISI,0,0,0,0,0,0,0,2,0,2,4.0,Urban Low Visitation,0
288,NOAT,0,1,1,0,0,0,0,0,0,2,6.0,High Seasonal Variation,0
289,NOCA,3,22,4,28,25,1,0,4,0,87,6.0,High Seasonal Variation,24
290,NPSA,3,0,0,9,0,0,0,2,0,14,6.0,High Seasonal Variation,0
291,NWWM,8,0,2,15,0,0,7,7,13,52,,,0
292,OBED,0,2,1,0,0,0,0,8,0,11,7.0,Rural Low Visitation,0
293,OBRI,0,0,0,0,0,0,0,0,0,0,,,0
294,OCMU,2,10,0,0,0,0,0,0,0,12,4.0,Urban Low Visitation,0
295,OLYM,36,0,7,1,30,0,0,0,0,74,8.0,Rural High Visitation,30
296,ORCA,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation,0
297,ORPI,0,0,0,7,0,0,0,3,1,11,7.0,Rural Low Visitation,0
298,OZAR,0,3,1,0,85,0,0,2,0,91,1.0,Transit Parks,85
299,PAAL,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation,0
300,PAAV,0,0,2,16,0,0,7,7,19,51,2.0,Urban Sites,0
301,PAGR,7,0,0,8,0,0,0,25,0,40,4.0,Urban Low Visitation,0
302,PAIS,0,0,0,6,0,0,0,0,0,6,8.0,Rural High Visitation,0
303,PECO,0,0,0,8,0,0,0,7,0,15,7.0,Rural Low Visitation,0
304,PEFO,0,0,0,7,0,0,0,8,0,15,8.0,Rural High Visitation,0
305,PERI,7,0,0,16,0,0,0,7,0,30,4.0,Urban Low Visitation,0
306,PETE,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation,0
307,PETR,7,0,0,8,0,0,0,1,0,16,4.0,Urban Low Visitation,0
308,PEVI,7,0,7,0,54,7,0,9,0,84,3.0,Low Visitation Sites,47
309,PINN,0,3,0,0,0,0,0,2,0,5,1.0,Transit Parks,0
310,PIPE,0,0,8,0,0,0,0,0,0,8,7.0,Rural Low Visitation,0
311,PIRO,12,62,10,0,0,0,0,5,0,89,6.0,High Seasonal Variation,0
312,PISC,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites,0
313,PISP,0,7,0,7,0,0,0,2,0,16,7.0,Rural Low Visitation,0
314,POCH,8,14,0,8,0,0,0,2,0,32,6.0,High Seasonal Variation,0
315,POHE,0,6,8,21,7,0,0,0,17,59,,,7
316,POPO,0,0,0,0,0,0,0,0,0,0,,,0
317,PORE,7,5,10,72,1,0,0,103,3,201,1.0,Transit Parks,1
