park,wheelchair,accessibility,disability,impaired,disabilities,handicap,accessible,ada,barrier,ramp,braille,disabled,handicapped,total
WHIS,16,129,6,4,2,2,31,25,0,18,1,2,1,237
WHMI,2,58,10,0,1,1,5,10,0,8,4,0,0,99
WHSA,0,35,3,0,1,0,1,23,0,0,0,0,0,63
WICA,17,86,5,1,4,1,25,14,0,1,1,0,0,155
WICL,0,46,2,0,1,0,5,8,0,1,0,0,0,63
WICR,4,47,2,0,1,0,8,9,0,0,0,0,0,71
WIHO,4,75,5,0,1,0,3,10,0,23,0,0,0,121
WORI,4,48,2,0,2,7,16,9,2,2,1,0,7,100
WOTR,0,26,2,0,1,0,1,8,0,18,0,0,0,56
WRBR,1,54,2,0,1,0,4,12,2,2,4,0,0,82
WRST,9,130,5,5,4,1,32,44,2,7,1,0,0,240
WUPA,7,60,2,0,1,0,26,12,0,2,3,0,0,113
WWII,0,50,2,0,1,7,2,8,0,0,2,0,0,72
WWIM,2,44,2,0,1,0,6,8,0,0,0,0,0,63
YELL,507,3295,8,2,11,0,346,45,4,291,10,0,0,4519
YOSE,0,49,5,0,2,0,7,33,0,14,0,0,0,110
YUCH,5,65,3,0,4,0,15,13,0,4,2,1,0,112
YUHO,0,37,2,0,1,0,1,4,0,0,0,0,0,45
ZION,6,57,8,1,3,0,25,32,0,1,0,1,0,134
