,park,parking lot,parking,pull off,pulloff,pull-off,total space,parking space,oversized space,garage,parking spot,parking tag,vehicle space,parking area,total,FinalCluster,Label
220,KEMO,34,64,0,0,1,0,11,0,0,2,0,0,3,115,1.0,Transit Parks
221,KEWE,1,6,0,0,0,0,0,0,0,0,0,0,0,7,3.0,Low Visitation Sites
222,KICA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
223,KIMO,5,6,0,0,0,0,1,0,0,0,0,0,0,12,4.0,Urban Low Visitation
224,KLGO,0,58,0,0,0,0,0,0,0,0,0,0,9,67,6.0,High Seasonal Variation
225,KNRI,7,14,0,0,0,0,0,0,0,0,0,0,0,21,7.0,Rural Low Visitation
226,KOVA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0,High Seasonal Variation
227,KOWA,7,46,0,0,0,0,0,0,1,0,0,0,0,54,2.0,Urban Sites
228,LABE,6,21,0,0,0,0,0,0,0,1,0,0,14,42,7.0,Rural Low Visitation
229,LACH,2,29,0,0,1,0,0,0,0,1,0,0,10,43,1.0,Transit Parks
230,LACL,0,8,0,0,0,0,0,0,0,0,0,0,0,8,6.0,High Seasonal Variation
231,LAKE,6,31,0,0,0,0,3,0,0,0,0,0,6,46,8.0,Rural High Visitation
232,LAME,6,31,0,0,0,0,3,0,0,0,0,0,6,46,,
233,LAMR,2,4,0,0,0,0,0,0,0,0,0,0,0,6,8.0,Rural High Visitation
234,LARO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
235,LAVO,12,91,0,0,0,0,3,0,0,0,0,0,62,168,6.0,High Seasonal Variation
236,LECL,2,6,0,0,0,0,0,0,0,0,0,0,0,8,,
237,LEWI,7,16,0,0,0,0,1,0,0,0,0,0,0,24,8.0,Rural High Visitation
238,LIBI,1,4,0,0,0,0,0,0,0,0,0,0,1,6,6.0,High Seasonal Variation
239,LIBO,3,4,0,0,0,0,0,0,0,0,0,0,1,8,6.0,High Seasonal Variation
240,LIHO,69,105,0,0,0,0,1,0,1,0,0,0,0,176,4.0,Urban Low Visitation
241,LINC,0,46,0,0,0,0,1,0,2,0,0,0,0,49,2.0,Urban Sites
242,LIRI,41,47,0,0,0,0,0,0,0,0,0,0,3,91,5.0,Urban High Visitation
243,LODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
244,LONG,1,80,0,0,0,0,2,0,8,0,0,0,0,91,2.0,Urban Sites
245,LOSA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
246,LOWE,0,183,0,0,0,0,10,0,149,0,0,0,8,350,1.0,Transit Parks
247,LYBA,29,38,0,0,0,0,0,0,0,0,0,0,0,67,4.0,Urban Low Visitation
248,LYJO,21,28,1,0,0,0,0,0,0,0,0,0,0,50,7.0,Rural Low Visitation
249,MABE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
250,MABI,29,52,0,0,0,0,0,0,0,0,0,0,1,82,7.0,Rural Low Visitation
251,MACA,23,26,0,0,0,0,0,0,0,0,0,0,1,50,1.0,Transit Parks
252,MALL,26,240,1,0,0,0,11,0,2,1,0,0,4,285,,
253,MALU,26,34,0,0,0,0,0,0,0,0,0,0,0,60,2.0,Urban Sites
254,MAMC,0,22,0,0,0,0,0,0,7,0,0,0,0,29,4.0,Urban Low Visitation
255,MANA,51,112,0,0,0,18,0,18,0,0,0,17,15,231,5.0,Urban High Visitation
256,MANZ,4,8,0,0,0,0,2,0,0,0,0,0,1,15,7.0,Rural Low Visitation
257,MAPR,7,18,0,0,0,0,0,0,0,0,0,0,0,25,7.0,Rural Low Visitation
258,MAVA,5,7,0,0,0,0,0,0,0,0,0,0,0,12,6.0,High Seasonal Variation
259,MAWA,1,51,0,0,0,0,8,0,8,0,0,0,0,68,2.0,Urban Sites
260,MEVE,1,2,0,0,1,0,0,0,0,0,0,0,1,5,8.0,Rural High Visitation
261,MIIN,16,16,0,0,0,0,0,0,0,0,0,0,0,32,3.0,Low Visitation Sites
262,MIMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
263,MIMI,3,13,0,0,0,0,0,0,0,3,0,0,2,21,3.0,Low Visitation Sites
264,MISS,8,59,0,0,0,0,0,0,1,0,0,0,0,68,6.0,High Seasonal Variation
265,MLKM,7,55,0,0,0,0,1,0,2,0,0,0,0,65,2.0,Urban Sites
266,MNRR,18,18,0,0,0,0,0,0,0,0,0,0,0,36,6.0,High Seasonal Variation
267,MOCA,9,14,0,0,0,0,0,0,0,1,0,0,3,27,8.0,Rural High Visitation
268,MOCR,1,1,0,0,0,0,0,0,0,0,0,0,0,2,6.0,High Seasonal Variation
269,MOJA,91,104,0,0,0,0,1,0,0,0,0,0,4,200,8.0,Rural High Visitation
270,MONO,1,11,0,0,0,0,0,0,0,0,0,0,6,18,4.0,Urban Low Visitation
271,MORA,63,169,0,0,0,0,4,0,0,0,0,0,27,263,8.0,Rural High Visitation
272,MORR,6,11,0,0,0,0,0,0,0,0,0,0,2,19,4.0,Urban Low Visitation
273,MORU,1,105,0,0,0,0,1,0,11,1,0,0,4,123,8.0,Rural High Visitation
