,park, uber , lyft ,ridehailing,ridesharing, cab , taxi ,ride-hailing,ride-sharing,ride hailing,ride sharing,ride share,rideshare,total,FinalCluster,Label
137,FOPU,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
138,FORA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
139,FOSC,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
140,FOSM,0,0,0,0,0,7,0,0,0,0,0,0,7,3.0,Low Visitation Sites
141,FOST,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
142,FOSU,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
143,FOTH,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
144,FOUN,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
145,FOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
146,FOVA,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
147,FOWA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
148,FRDE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
149,FRDO,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
150,FRHI,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
151,FRLA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
152,FRSP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
153,FRST,0,0,0,0,0,0,0,0,0,0,0,0,0,,
154,GAAR,0,0,0,0,0,10,0,0,0,0,0,0,10,6.0,High Seasonal Variation
155,GARI,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
156,GATE,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
157,GEGR,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
158,GERO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
159,GETT,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
160,GEWA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
161,GICL,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
162,GLAC,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
163,GLBA,0,0,0,0,0,22,0,0,0,0,0,0,22,1.0,Transit Parks
164,GLCA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
165,GOGA,0,0,0,0,0,2,0,0,0,0,0,0,2,1.0,Transit Parks
166,GOIS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
167,GOSP,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
168,GRBA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
169,GRCA,0,0,0,0,0,23,0,0,0,0,0,0,23,1.0,Transit Parks
170,GREE,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
171,GREG,0,0,0,0,0,0,0,0,0,0,0,0,0,,
172,GRKO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
173,GRPO,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
174,GRSA,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
175,GRSM,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
176,GRTE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
177,GUCO,0,0,0,0,0,8,0,0,0,0,0,0,8,5.0,Urban High Visitation
178,GUIS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
179,GUMO,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
180,GWCA,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
181,GWMP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
182,HAFE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
183,HAFO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
184,HAGR,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
185,HALE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
186,HAMP,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
187,HATU,0,0,0,0,0,0,0,0,0,0,0,0,0,,
188,HAVO,0,0,0,0,0,0,0,0,0,0,0,21,21,8.0,Rural High Visitation
189,HEHO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
190,HOBE,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
191,HOCU,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
192,HOFR,0,0,0,0,0,7,0,0,0,0,0,0,7,1.0,Transit Parks
193,HOFU,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
194,HOME,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
195,HONO,0,0,0,0,0,0,0,0,0,0,0,0,0,,
196,HOSP,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
197,HOVE,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
198,HSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
199,HUTR,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
200,IATR,0,0,0,0,0,0,0,0,0,0,0,0,0,,
201,INDE,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
202,INDU,0,0,0,0,0,7,0,0,0,0,0,0,7,5.0,Urban High Visitation
203,ISRO,0,0,0,0,0,3,0,0,0,0,0,0,3,1.0,Transit Parks
204,JAGA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
205,JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
206,JECA,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
207,JEFF,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
208,JEFM,0,0,0,0,0,0,0,0,0,0,0,0,0,,
209,JELA,0,0,0,0,0,1,0,0,0,0,6,0,7,4.0,Urban Low Visitation
210,JICA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
211,JODA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
212,JODR,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
213,JOFI,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
214,JOFL,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
215,JOMU,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
216,JOTR,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
217,KAHO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
218,KALA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
219,KATM,0,0,0,0,0,17,0,0,0,0,0,0,17,6.0,High Seasonal Variation
220,KAWW,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
221,KEFJ,0,0,0,0,0,131,0,0,0,0,0,0,131,6.0,High Seasonal Variation
222,KEMO,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
223,KEWE,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
224,KICA,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
225,KIMO,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
226,KLGO,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
227,KNRI,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
228,KOVA,0,0,0,0,0,3,0,0,0,0,0,0,3,6.0,High Seasonal Variation
229,KOWA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
230,LABE,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
231,LACH,0,0,0,0,0,10,0,0,0,0,0,0,10,1.0,Transit Parks
232,LACL,0,0,0,0,0,24,0,0,0,0,0,0,24,6.0,High Seasonal Variation
233,LAKE,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
234,LAME,1,0,0,0,0,0,0,0,0,0,0,0,1,,
235,LAMR,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
236,LARO,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
237,LAVO,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
238,LECL,0,0,0,0,0,0,0,0,0,0,0,0,0,,
239,LEWI,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
