,park,Driving_Directions,Public_transportation_information,Bike_Pedestrian_Information,Congestion_information,Accessibility,Alternative_Fueling_Stations,Travel_Distance_Final,Parking_Experience_information,Transportation_experience_information,Parking_information
381,TUZI,1,0,0,0,0,0,0,0,1,0
382,ULSG,1,1,1,0,0,0,1,0,1,0
383,UPDE,1,1,0,0,0,0,1,0,1,0
384,VAFO,1,1,1,1,0,0,1,1,1,1
385,VALL,1,1,1,1,0,1,1,0,1,0
386,VALR,1,1,0,0,0,0,0,1,1,1
387,VAMA,1,1,1,0,0,0,1,0,1,0
388,VICK,1,1,1,0,0,0,0,0,1,0
389,VICR,1,1,0,0,0,0,1,0,1,0
390,VIIS,1,1,1,0,0,0,1,0,1,0
391,VIVE,1,1,0,0,0,0,1,1,1,1
392,VOYA,1,1,1,0,0,0,1,0,1,0
393,WABA,1,0,0,0,0,0,0,0,1,0
394,WACA,1,1,1,0,0,0,1,0,1,0
395,WACO,1,1,1,0,0,0,0,0,1,0
396,WAMO,1,1,0,0,0,0,1,1,1,1
397,WAPA,1,0,0,0,0,0,1,0,1,0
398,WASH,1,0,0,0,0,0,0,0,0,0
399,WEFA,1,0,0,0,0,0,0,1,1,1
400,WHHO,1,1,0,0,0,0,0,1,1,1
401,WHIS,1,1,1,0,0,0,1,0,1,0
402,WHMI,1,1,1,0,0,0,1,1,1,1
403,WHSA,1,1,0,0,0,0,1,0,1,0
404,WICA,1,1,1,0,0,0,1,0,1,0
405,WICL,1,0,0,0,0,0,1,1,1,1
406,WICR,1,1,1,0,0,1,1,1,1,1
407,WIHO,1,1,0,0,0,0,1,1,1,1
408,WORI,1,0,0,0,0,0,0,1,1,1
409,WOTR,1,1,0,0,0,0,0,1,1,1
410,WRBR,1,1,0,0,0,0,1,0,1,0
411,WRST,1,1,1,0,0,0,1,0,1,0
412,WUPA,1,1,1,0,0,0,1,0,1,0
413,WWII,1,1,0,0,0,0,1,1,1,1
414,WWIM,1,1,0,0,0,0,0,1,1,1
415,YELL,1,1,1,1,0,1,1,1,1,1
416,YOSE,1,1,1,1,0,0,1,1,1,1
417,YUCH,1,1,0,0,0,0,1,0,1,0
418,YUHO,1,1,0,0,0,0,1,1,1,1
419,ZION,1,1,1,1,0,0,1,1,1,1
