trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_winter_T21,,,4,4,,,,,,3.203,0
village_winter_T21,,,5,5,,,,,,3.569,0
village_winter_T21,,,6,6,,,,,,3.814,0
village_winter_T21,,,7,7,,,,,,4.369,0
village_winter_T21,,,8,8,,,,,,4.704,0
village_winter_T21,,,9,9,,,,,,5.364,0
village_winter_T21,,,10,10,,,,,,5.849,0
village_winter_T21,,,11,11,,,,,,6.849,0
village_winter_T21,,,12,12,,,,,,7.329,0
village_winter_T21,,,13,13,,,,,,7.891,0
village_winter_T21,,,14,14,,,,,,8.614,0
village_winter_T21,13:20:00,13:20:00,1,15,,,,,,10.432,1
village_winter_T22,12:40:00,12:40:00,1,1,,,,,,0.0,1
village_winter_T22,,,2,2,,,,,,1.367,0
village_winter_T22,,,3,3,,,,,,1.88,0
village_winter_T22,,,4,4,,,,,,3.203,0
village_winter_T22,,,5,5,,,,,,3.569,0
village_winter_T22,,,6,6,,,,,,3.814,0
village_winter_T22,,,7,7,,,,,,4.369,0
village_winter_T22,,,8,8,,,,,,4.704,0
village_winter_T22,,,9,9,,,,,,5.364,0
village_winter_T22,,,10,10,,,,,,5.849,0
village_winter_T22,,,11,11,,,,,,6.849,0
village_winter_T22,,,12,12,,,,,,7.329,0
village_winter_T22,,,13,13,,,,,,7.891,0
village_winter_T22,,,14,14,,,,,,8.614,0
village_winter_T22,13:30:00,13:30:00,1,15,,,,,,10.432,1
village_winter_T23,12:50:00,12:50:00,1,1,,,,,,0.0,1
village_winter_T23,,,2,2,,,,,,1.367,0
village_winter_T23,,,3,3,,,,,,1.88,0
village_winter_T23,,,4,4,,,,,,3.203,0
village_winter_T23,,,5,5,,,,,,3.569,0
village_winter_T23,,,6,6,,,,,,3.814,0
village_winter_T23,,,7,7,,,,,,4.369,0
village_winter_T23,,,8,8,,,,,,4.704,0
village_winter_T23,,,9,9,,,,,,5.364,0
village_winter_T23,,,10,10,,,,,,5.849,0
village_winter_T23,,,11,11,,,,,,6.849,0
village_winter_T23,,,12,12,,,,,,7.329,0
village_winter_T23,,,13,13,,,,,,7.891,0
village_winter_T23,,,14,14,,,,,,8.614,0
village_winter_T23,13:40:00,13:40:00,1,15,,,,,,10.432,1
village_winter_T24,13:00:00,13:00:00,1,1,,,,,,0.0,1
village_winter_T24,,,2,2,,,,,,1.367,0
village_winter_T24,,,3,3,,,,,,1.88,0
village_winter_T24,,,4,4,,,,,,3.203,0
village_winter_T24,,,5,5,,,,,,3.569,0
village_winter_T24,,,6,6,,,,,,3.814,0
village_winter_T24,,,7,7,,,,,,4.369,0
village_winter_T24,,,8,8,,,,,,4.704,0
village_winter_T24,,,9,9,,,,,,5.364,0
village_winter_T24,,,10,10,,,,,,5.849,0
village_winter_T24,,,11,11,,,,,,6.849,0
village_winter_T24,,,12,12,,,,,,7.329,0
village_winter_T24,,,13,13,,,,,,7.891,0
village_winter_T24,,,14,14,,,,,,8.614,0
village_winter_T24,13:50:00,13:50:00,1,15,,,,,,10.432,1
village_winter_T25,13:10:00,13:10:00,1,1,,,,,,0.0,1
village_winter_T25,,,2,2,,,,,,1.367,0
village_winter_T25,,,3,3,,,,,,1.88,0
village_winter_T25,,,4,4,,,,,,3.203,0
village_winter_T25,,,5,5,,,,,,3.569,0
village_winter_T25,,,6,6,,,,,,3.814,0
village_winter_T25,,,7,7,,,,,,4.369,0
village_winter_T25,,,8,8,,,,,,4.704,0
village_winter_T25,,,9,9,,,,,,5.364,0
village_winter_T25,,,10,10,,,,,,5.849,0
village_winter_T25,,,11,11,,,,,,6.849,0
village_winter_T25,,,12,12,,,,,,7.329,0
village_winter_T25,,,13,13,,,,,,7.891,0
village_winter_T25,,,14,14,,,,,,8.614,0
village_winter_T25,14:00:00,14:00:00,1,15,,,,,,10.432,1
village_winter_T26,13:20:00,13:20:00,1,1,,,,,,0.0,1
village_winter_T26,,,2,2,,,,,,1.367,0
village_winter_T26,,,3,3,,,,,,1.88,0
village_winter_T26,,,4,4,,,,,,3.203,0
village_winter_T26,,,5,5,,,,,,3.569,0
village_winter_T26,,,6,6,,,,,,3.814,0
village_winter_T26,,,7,7,,,,,,4.369,0
village_winter_T26,,,8,8,,,,,,4.704,0
village_winter_T26,,,9,9,,,,,,5.364,0
village_winter_T26,,,10,10,,,,,,5.849,0
village_winter_T26,,,11,11,,,,,,6.849,0
village_winter_T26,,,12,12,,,,,,7.329,0
village_winter_T26,,,13,13,,,,,,7.891,0
village_winter_T26,,,14,14,,,,,,8.614,0
village_winter_T26,14:10:00,14:10:00,1,15,,,,,,10.432,1
village_winter_T27,13:30:00,13:30:00,1,1,,,,,,0.0,1
village_winter_T27,,,2,2,,,,,,1.367,0
village_winter_T27,,,3,3,,,,,,1.88,0
village_winter_T27,,,4,4,,,,,,3.203,0
village_winter_T27,,,5,5,,,,,,3.569,0
village_winter_T27,,,6,6,,,,,,3.814,0
village_winter_T27,,,7,7,,,,,,4.369,0
village_winter_T27,,,8,8,,,,,,4.704,0
village_winter_T27,,,9,9,,,,,,5.364,0
village_winter_T27,,,10,10,,,,,,5.849,0
village_winter_T27,,,11,11,,,,,,6.849,0
village_winter_T27,,,12,12,,,,,,7.329,0
village_winter_T27,,,13,13,,,,,,7.891,0
village_winter_T27,,,14,14,,,,,,8.614,0
village_winter_T27,14:20:00,14:20:00,1,15,,,,,,10.432,1
village_winter_T28,13:40:00,13:40:00,1,1,,,,,,0.0,1
village_winter_T28,,,2,2,,,,,,1.367,0
village_winter_T28,,,3,3,,,,,,1.88,0
village_winter_T28,,,4,4,,,,,,3.203,0
village_winter_T28,,,5,5,,,,,,3.569,0
village_winter_T28,,,6,6,,,,,,3.814,0
village_winter_T28,,,7,7,,,,,,4.369,0
village_winter_T28,,,8,8,,,,,,4.704,0
village_winter_T28,,,9,9,,,,,,5.364,0
village_winter_T28,,,10,10,,,,,,5.849,0
village_winter_T28,,,11,11,,,,,,6.849,0
village_winter_T28,,,12,12,,,,,,7.329,0
village_winter_T28,,,13,13,,,,,,7.891,0
village_winter_T28,,,14,14,,,,,,8.614,0
village_winter_T28,14:30:00,14:30:00,1,15,,,,,,10.432,1
village_winter_T29,13:50:00,13:50:00,1,1,,,,,,0.0,1
village_winter_T29,,,2,2,,,,,,1.367,0
village_winter_T29,,,3,3,,,,,,1.88,0
village_winter_T29,,,4,4,,,,,,3.203,0
village_winter_T29,,,5,5,,,,,,3.569,0
village_winter_T29,,,6,6,,,,,,3.814,0
village_winter_T29,,,7,7,,,,,,4.369,0
village_winter_T29,,,8,8,,,,,,4.704,0
village_winter_T29,,,9,9,,,,,,5.364,0
village_winter_T29,,,10,10,,,,,,5.849,0
village_winter_T29,,,11,11,,,,,,6.849,0
village_winter_T29,,,12,12,,,,,,7.329,0
village_winter_T29,,,13,13,,,,,,7.891,0
village_winter_T29,,,14,14,,,,,,8.614,0
village_winter_T29,14:40:00,14:40:00,1,15,,,,,,10.432,1
village_winter_T30,14:00:00,14:00:00,1,1,,,,,,0.0,1
village_winter_T30,,,2,2,,,,,,1.367,0
village_winter_T30,,,3,3,,,,,,1.88,0
village_winter_T30,,,4,4,,,,,,3.203,0
village_winter_T30,,,5,5,,,,,,3.569,0
village_winter_T30,,,6,6,,,,,,3.814,0
village_winter_T30,,,7,7,,,,,,4.369,0
village_winter_T30,,,8,8,,,,,,4.704,0
village_winter_T30,,,9,9,,,,,,5.364,0
village_winter_T30,,,10,10,,,,,,5.849,0
village_winter_T30,,,11,11,,,,,,6.849,0
village_winter_T30,,,12,12,,,,,,7.329,0
village_winter_T30,,,13,13,,,,,,7.891,0
village_winter_T30,,,14,14,,,,,,8.614,0
village_winter_T30,14:50:00,14:50:00,1,15,,,,,,10.432,1
village_winter_T31,14:10:00,14:10:00,1,1,,,,,,0.0,1
village_winter_T31,,,2,2,,,,,,1.367,0
village_winter_T31,,,3,3,,,,,,1.88,0
village_winter_T31,,,4,4,,,,,,3.203,0
village_winter_T31,,,5,5,,,,,,3.569,0
village_winter_T31,,,6,6,,,,,,3.814,0
village_winter_T31,,,7,7,,,,,,4.369,0
village_winter_T31,,,8,8,,,,,,4.704,0
village_winter_T31,,,9,9,,,,,,5.364,0
village_winter_T31,,,10,10,,,,,,5.849,0
village_winter_T31,,,11,11,,,,,,6.849,0
village_winter_T31,,,12,12,,,,,,7.329,0
village_winter_T31,,,13,13,,,,,,7.891,0
