ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-10,22,,0.0
4702,Ocean Drive,2021-05-10,23,,0.0
4702,Ocean Drive,2021-05-11,0,,0.0
4702,Ocean Drive,2021-05-11,1,,0.0
4702,Ocean Drive,2021-05-11,2,,0.0
4702,Ocean Drive,2021-05-11,3,,0.0
4702,Ocean Drive,2021-05-11,4,,0.0
4702,Ocean Drive,2021-05-11,5,,4.0
4702,Ocean Drive,2021-05-11,6,6-9,6.0
4702,Ocean Drive,2021-05-11,7,6-9,23.0
4702,Ocean Drive,2021-05-11,8,6-9,39.0
4702,Ocean Drive,2021-05-11,9,6-9,91.0
4702,Ocean Drive,2021-05-11,10,9-12,96.0
4702,Ocean Drive,2021-05-11,11,9-12,83.0
4702,Ocean Drive,2021-05-11,12,9-12,76.0
4702,Ocean Drive,2021-05-11,13,12-15,67.0
4702,Ocean Drive,2021-05-11,14,12-15,65.0
4702,Ocean Drive,2021-05-11,15,12-15,54.0
4702,Ocean Drive,2021-05-11,16,15-18,31.0
4702,Ocean Drive,2021-05-11,17,15-18,26.0
4702,Ocean Drive,2021-05-11,18,15-18,18.0
4702,Ocean Drive,2021-05-11,19,18-21,8.0
4702,Ocean Drive,2021-05-11,20,18-21,1.0
4702,Ocean Drive,2021-05-11,21,18-21,1.0
4702,Ocean Drive,2021-05-11,22,,0.0
4702,Ocean Drive,2021-05-11,23,,1.0
4702,Ocean Drive,2021-05-12,0,,1.0
4702,Ocean Drive,2021-05-12,1,,0.0
4702,Ocean Drive,2021-05-12,2,,0.0
4702,Ocean Drive,2021-05-12,3,,0.0
4702,Ocean Drive,2021-05-12,4,,3.0
4702,Ocean Drive,2021-05-12,5,,5.0
4702,Ocean Drive,2021-05-12,6,6-9,1.0
4702,Ocean Drive,2021-05-12,7,6-9,14.0
4702,Ocean Drive,2021-05-12,8,6-9,20.0
4702,Ocean Drive,2021-05-12,9,6-9,66.0
4702,Ocean Drive,2021-05-12,10,9-12,98.0
4702,Ocean Drive,2021-05-12,11,9-12,105.0
4702,Ocean Drive,2021-05-12,12,9-12,100.0
4702,Ocean Drive,2021-05-12,13,12-15,89.0
4702,Ocean Drive,2021-05-12,14,12-15,85.0
4702,Ocean Drive,2021-05-12,15,12-15,59.0
4702,Ocean Drive,2021-05-12,16,15-18,57.0
4702,Ocean Drive,2021-05-12,17,15-18,40.0
4702,Ocean Drive,2021-05-12,18,15-18,21.0
4702,Ocean Drive,2021-05-12,19,18-21,15.0
4702,Ocean Drive,2021-05-12,20,18-21,4.0
4702,Ocean Drive,2021-05-12,21,18-21,3.0
4702,Ocean Drive,2021-05-12,22,,5.0
4702,Ocean Drive,2021-05-12,23,,4.0
4702,Ocean Drive,2021-05-13,0,,2.0
4702,Ocean Drive,2021-05-13,1,,0.0
4702,Ocean Drive,2021-05-13,2,,2.0
4702,Ocean Drive,2021-05-13,3,,1.0
4702,Ocean Drive,2021-05-13,4,,6.0
4702,Ocean Drive,2021-05-13,5,,13.0
4702,Ocean Drive,2021-05-13,6,6-9,15.0
4702,Ocean Drive,2021-05-13,7,6-9,15.0
4702,Ocean Drive,2021-05-13,8,6-9,50.0
